Agency,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Buy Rent Shelters,"Loresho, Loresho, Westlands","KSh 60,000",/listings/2-bedroom-apartment-for-rent-loresho-1-3456955,2,2,2
Naftal Properties,"Kilimani, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3455208,2,2,
Naftal Properties,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3467500,2,2,
Liflac Properties,"Loresho, Westlands","KSh 60,000",/listings/3-bedroom-apartment-for-rent-loresho-3418178,129,3,2
Cfs Homes,"Westlands Area, Westlands","KSh 60,000",/listings/2-bedroom-apartment-for-rent-westlands-area-1-3438407,2,2,2
Phillavilla,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3465704,2,2,1
Swiveltrend Ltd,"Thindigua, Thindigua","KSh 60,000",/listings/3-bedroom-apartment-for-rent-thindigua-3417826,8000,3,2
Swiveltrend Ltd,"KIAMBU ROAD, Ruaka, Kiambaa","KSh 60,000",/listings/3-bedroom-apartment-for-rent-ruaka-3465118,3,3,3
Ace Realtors Limited,"21 05 04, 02 RA, Waiyaki Way, Westlands","KSh 60,000",/listings/2-bedroom-apartment-for-rent-waiyaki-way-3468370,2,2,2
Real Management Services 2002Limited,"1, Crescent Road, Parklands, Westlands","KSh 60,000",/listings/3-bedroom-apartment-for-rent-parklands-3376563,3,3,2
Real Management Services 2002Limited,"Crescent Road, Parklands, Westlands","KSh 60,000",/listings/3-bedroom-apartment-for-rent-parklands-3451669,3,3,2
Kenya Classic Homes,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-1-3455445,110,2,2
Azizi Realtors,"Lavington, Dagoretti North","KSh 60,000",/listings/3-bedroom-apartment-for-rent-lavington-3459356,3,3,2
Range Wide Properties,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3421859,3,3,
Range Wide Properties,"Rhapta Road, Westlands","KSh 60,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3463259,3,3,2
Wealthlink Realtors Ltd,"Karen, Langata","KSh 60,000",/listings/2-bedroom-apartment-for-rent-karen-3461242,150,2,2
Wealthlink Realtors Ltd,"Waiyaki Way, Westlands","KSh 60,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3463517,3,3,3
Dalizu Holdings Limited,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3468383,3,3,2
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road","KSh 60,000",/listings/furnished-4-bedroom-apartment-for-rent-3466850,4,4,4
Ric Realtors,"Karen, Langata","KSh 60,000",/listings/furnished-2-bedroom-apartment-for-rent-karen-3445605,2,2,1
Cfs Homes,"Westlands Area, Westlands","KSh 60,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3438405,2,2,2
Cfs Homes,"Ruaka, Kiambaa","KSh 60,000",/listings/3-bedroom-apartment-for-rent-ruaka-1-3440454,3,3,
Tysons Limited,"Ngara, Starehe","KSh 60,000",/listings/3-bedroom-apartment-for-rent-ngara-3462091,3,3,2
Capstone Properties,"Rhapta Road, Westlands","KSh 60,000",/listings/1-bedroom-apartment-for-rent-rhapta-road-3462436,1,1,1
Crystal Valuers Ltd,"Ngong Road, Ngong Road","KSh 60,000",/listings/2-bedroom-apartment-for-rent-ngong-road-3447466,89,2,2
Kimachas Enterprises,"Near citymall, Doshi road nyali, Ziwa La Ngombe, Nyali","KSh 60,000",/listings/3-bedroom-apartment-for-rent-ziwa-la-ngombe-3463427,2500,3,2
Buy Rent Shelters,"Loresho, Westlands","KSh 60,000",/listings/2-bedroom-apartment-for-rent-loresho-3459647,2,2,2
Dalizu Holdings Limited,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3458909,2,2,2
Fuzone Pride Investment,"Kileleshwa, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3398497,2,2,
Fuzone Pride Investment,"Kilimani, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kilimani-3401497,2,2,2
Fuzone Pride Investment,"Kilimani, Dagoretti North","KSh 60,000",/listings/2-bedroom-apartment-for-rent-kilimani-3410992,2,2,
Gemac Properties,"Fourways Junction, Kiambu Road, Kiambu Road","KSh 60,000",/listings/3-bedroom-apartment-for-rent-3442766,120,3,2
Pmm Properties,"Off Rhapta Road, Westlands Area, Westlands","KSh 60,000",/listings/1-bedroom-apartment-for-rent-westlands-area-3463150,1,1,1
Rayalink Properties,"Loresho, Loresho, Westlands","KSh 60,500",/listings/2-bedroom-apartment-for-rent-loresho-3466581,2,2,2
Phillavilla,"Ngong Road, Ngong Road","KSh 62,000",/listings/3-bedroom-apartment-for-rent-3463306,3,3,2
Azizi Realtors,"Off Ojijo, Westlands Area, Westlands","KSh 62,500",/listings/2-bedroom-apartment-for-rent-westlands-area-3413271,2,2,2
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-kilimani-1-3455663,90,1,1
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-kilimani-1-3455663,90,1,1
Masterways Properties Ltd,"Gatundu Road, Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3455439,2,2,2
Masterways Properties Ltd,"Chaka Road, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3463588,2,2,1
Lavingtonmanagement,"Valley Arcade, Lavington, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-lavington-3465100,2,2,2
Ogaye Enterprises,"801181, Jamuhuri road, Nyali Area, Nyali","KSh 65,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3466051,2000,3,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3463825,2,2,2
Prudential Green Ville,"lavington, lavington, Lavington, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-lavington-3465390,3,3,2
Wealthlink Realtors Ltd,"Waiyaki Way, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-waiyaki-way-3463553,2,2,2
Wealthlink Realtors Ltd,"Loresho, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-loresho-3463642,3,3,3
Nickville Shelters,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-2-3442745,2,2,
Rescom Ventures Ltd,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3465464,2,2,2
Naftal Properties,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3466921,2,2,
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467111,2,2,
Cfs Homes,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3438400,2,2,
Cfs Homes,"Hurlingham, Hurlingham, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-hurlingham-3462855,2,2,
Splendor Holdings,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-kileleshwa-3443206,80,1,
Phillavilla,"Rhapta Road, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3467569,3,3,2
Canaan Properties,"Waiyaki Way, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3467863,3,3,
Ace Realtors Limited,"21 05 06, 29 RA, Westlands Area, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3468516,157,2,1
Gimco Limited,"langata, Langata Area, Langata","KSh 65,000",/listings/3-bedroom-apartment-for-rent-langata-area-3466801,3,3,
Green Knight Properties,"Mbaazi, Mbaazi, Lavington, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-lavington-3437867,1,1,1
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-lavington-3444814,1,1,1
Pam Golding Properties,"Upper Hill, Langata","KSh 65,000",/listings/2-bedroom-apartment-for-rent-upper-hill-3450306,2,2,2
Crystal Valuers Ltd,"wambugu road, 1st parkland, Parklands, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-parklands-3461827,127,2,2
Kenya Classic Homes,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3433086,111,2,2
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-kilimani-3462633,100,1,1
Realty Plus,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-2-3435223,3,3,2
Prudential Green Ville,"westlands, Westlands, Riverside, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-riverside-1-3444096,3,3,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3468505,2,2,2
Prudential Green Ville,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3468636,3,3,2
Range Wide Properties,"Waiyaki Way, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3463008,3,3,3
City Homes Kenya Real Estate,"Mombasa Road Next To Eka Hotel, Mombasa Road, Mombasa Road","KSh 65,000",/listings/furnished-1-bedroom-apartment-for-rent-mombasa-road-3426820,1,1,
Jazari Homes,"Vanga road, Valley arcade, Lavington, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-lavington-3465511,2,2,2
Buy Rent Shelters,"Loresho, Westlands Area, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3458097,2,2,2
Prince Classic Homes,"Lavington, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-lavington-3387810,2,2,
Prince Classic Homes,"Kindaruma road, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3468441,2,2,3
Hilltrust Consult,"Brookside Drive, Brookside, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-brookside-3449435,2,2,
Furaha Properties,"Nyali Area, Nyali","KSh 65,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3381995,3,3,
Naftal Properties,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3436145,2,2,2
Naftal Properties,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465717,2,2,2
Splendour Real Estate,"Valley Arcade, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-valley-arcade-3452692,2,2,
Paradigm Homes,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3411919,2,2,2
Lavingtonmanagement,"Argwings Kodhek, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3468070,2,2,2
Yellow Market,"Near Yaya Center, Kilimani, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-kilimani-3445847,1,1,2
Hanspace Limited,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466576,2,2,2
Vsb Properties Limited,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-1-3457866,3,3,2
Nguso Realtors,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3467428,2,2,2
Ace Realtors Limited,"21 05 07, 20 RA, Lavington, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-lavington-3468711,177,3,3
Coralinternational Ltd,"Mogotio Road, Westlands Area, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3455249,3,3,3
Opus Properties,"Ngong Road, Ngong Road","KSh 65,000",/listings/3-bedroom-apartment-for-rent-3449527,3,3,2
Green Knight Properties,"George Padmore lane, Kilimani, Dagoretti North","KSh 65,000",/listings/furnished-1-bedroom-apartment-for-rent-kilimani-3-3444819,1,1,1
Citiscape Valuers And Estate Agents Ltd,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466288,2,2,2
Prudential Green Ville,"lavington, Lavington, Dagoretti North","KSh 65,000",/listings/1-bedroom-apartment-for-rent-lavington-1-3454827,1,1,1
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3455764,2,2,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3459516,3,3,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467402,2,2,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467913,2,2,2
Range Wide Properties,"Rhapta Road, Westlands","KSh 65,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3463089,3,3,2
Citiscape Valuers And Estate Agents Ltd,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466288,2,2,2
Kimachas Enterprises,"Light academy, Nyali road, Mkomani, Nyali","KSh 65,000",/listings/3-bedroom-apartment-for-rent-mkomani-3463074,2000,3,2
Buy Rent Shelters,"Loresho, Westlands Area, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-westlands-area-1-3455270,2,2,
Lavingtonmanagement,"Valley Arcade, Lavington, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-lavington-3465102,2,2,2
Yellow Market,"Lavington, Valley Arcade, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-valley-arcade-1-3407625,2,2,2
Fuzone Pride Investment,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3401446,2,2,2
Pmc Estates Limited,"Statehouse Cresent, Off Statehouse Road, State House, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-state-house-3450205,3,3,
Pmc Estates Limited,"Thindigua, Thindigua","KSh 65,000",/listings/3-bedroom-apartment-for-rent-3467904,3,3,
Naftal Properties,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-1-3454205,2,2,
Gemac Properties,"Loresho, Loresho, Westlands","KSh 65,000",/listings/2-bedroom-apartment-for-rent-loresho-3458308,100,2,2
Cfs Homes,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3440392,2,2,
Rescom Ventures Ltd,"Nairobi West, Langata","KSh 65,000",/listings/furnished-studio-apartment-for-rent-nairobi-west-3460785,0,0,1
Splendor Holdings,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3441452,105,2,
Phillavilla,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-2-3454004,3,3,2
Spark Properties,"Lavington, Lavington, Lavington, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-lavington-3468668,3,3,
Apogee Realty Homes,"500Meters From Delta Petrol Station, Kiambu Road, Kiambu Road","KSh 66,000",/listings/3-bedroom-apartment-for-rent-2-3453702,3,3,1
Symonns Realty,"Ngong Racecourse, Ngong Road, Ngong Road","KSh 66,000",/listings/3-bedroom-apartment-for-rent-1-3454369,117,3,2
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 67,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3462816,2300,3,3
Phillavilla,"Kileleshwa, Dagoretti North","KSh 67,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3459497,2,2,2
Coralinternational Ltd,"Off Brookside Drive, Soorae Flats, Brookside, Westlands","KSh 67,500",/listings/2-bedroom-apartment-for-rent-brookside-3438192,2,2,2
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North","KSh 67,500",/listings/3-bedroom-apartment-for-rent-lavington-1-3458460,3,3,2
Phillavilla,"Kileleshwa, Dagoretti North","KSh 68,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3468411,3,3,2
Lavingtonmanagement,"Gathanju, Lavington, Dagoretti North","KSh 68,000",/listings/2-bedroom-apartment-for-rent-lavington-3465392,2,2,2
Prince Classic Homes,"Masari road, Parklands, Westlands","KSh 69,997",/listings/2-bedroom-apartment-for-rent-parklands-3461731,2,2,2
Opus Properties,"Kikambala Road, Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3464454,2,2,2
Prime Lands,"Gatundu Close, Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3432074,2,2,
Real Management Services 2002Limited,"Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3388712,2,2,
Realty Plus,"Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3406344,3,3,3
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3450652,3,3,2
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3461753,120,3,2
Royani Properties Limited,"Mocah Courtyard, Kiambu Road, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3462160,3,3,3
Royani Properties Limited,"FOURWAYS, Kiambu Road, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3462936,3,3,2
Royani Properties Limited,"Fourways junction, Kiambu Road, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3466963,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3450652,3,3,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3460926,3,3,2
Prudential Green Ville,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3468014,3,3,2
Geoscape Global Limited,"Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467308,3,3,2
Sunland Real Estates Limited,"Wood Avenue, Wood Avenue, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466285,3,3,2
Wealthlink Realtors Ltd,"Kahawa West, Roysambu","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kahawa-west-3464027,3,3,2
Cloud Real Estate,"Waiyaki Way, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-2-3399187,135,3,
Olympia Gold Real Estate,"Lavington, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-lavington-3458266,2,2,2
Nickville Shelters,"Valley Arcade, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-valley-arcade-3422776,2,2,
Pmc Estates Limited,"Usiu Road, Thika Road, Thika Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-thika-road-3450173,3,3,
Rescom Ventures Ltd,"Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466234,85,2,2
Naftal Properties,"Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3451105,2,2,
Medallion Systems,"Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467559,2,2,
Canaan Properties,"Milimani, Milimani","KSh 70,000",/listings/2-bedroom-apartment-for-rent-3468712,2,2,3
Phillavilla,"Mountain View, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-mountain-view-1-3460816,3,3,2
Chawan Business Venture,"Kiambu Road, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kiambu-road-3465588,3,3,2
Ace Realtors Limited,"21 05 07, 18 RA, Rhapta Road, Westlands","KSh 70,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3468700,149,2,2
David Kiambi,"Muringa groove, Muringa road, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466284,3,3,2
Tuvilani Ventures Enterprice,"Kizingo, Kizingo, kizingo, Mvita","KSh 70,000",/listings/furnished-4-bedroom-apartment-for-rent-kizingo-3463749,4,4,3
Azizi Realtors,"Westlands Area, Westlands","KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3465302,2,2,3
Real Management Services 2002Limited,"Riara Road, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3426386,3,3,
Real Management Services 2002Limited,"riara road, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3462358,3,3,2
Franic Villa Properties,"Near USIU, Safari park, Zimmermann, Roysambu","KSh 70,000",/listings/4-bedroom-apartment-for-rent-zimmermann-3468415,4,4,4
City Homes Kenya Real Estate,"Acacia Drive, Runda, Westlands","KSh 70,000",/listings/furnished-2-bedroom-apartment-for-rent-runda-3457705,2,2,
Homekenya24,"Ruaka, Kiambaa","KSh 70,000",/listings/3-bedroom-apartment-for-rent-ruaka-3468335,3,3,2
Blueline Properties 1023,"Sibiloi , Ojijo, Parklands, Westlands","KSh 70,000",/listings/furnished-2-bedroom-apartment-for-rent-parklands-33725,6,2,2
City Homes Kenya Real Estate,"Acacia Drive, Runda, Westlands","KSh 70,000",/listings/furnished-2-bedroom-apartment-for-rent-runda-3457705,2,2,
Absolute Estate Agents,"Lavington, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3457542,3,3,
Sir Francis Marketingconsultants Ltd,"Valley Arcade, Lavington, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3461696,125,3,2
Benford Homes,"Nyali, Neen Road, Nyali Area, Nyali","KSh 70,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3467757,2160,3,4
Origin Homes,"Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3457098,2,2,3
Royani Properties Limited,"Laikipia road, Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466615,2,2,2
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3466560,2,2,2
Hilltrust Consult,"Off Rapta Rd, Westlands Area, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3437984,3,3,
Kaisa Ventures Kenya Limited,"Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466965,2,2,
Urban Hut,"Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3459360,2,2,2
Afrique Properties Limited,"Kileleshwa, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3464989,3,3,2
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3466205,3,3,3
Lighthouse Homes Limited,"Rhapta Road, Westlands Area, Westlands","KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3468610,2,2,3
Pmm Properties,"Rhapta Road, Rhapta Road, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3468567,3,3,2
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3466205,3,3,3
Splendor Holdings,"Lavington, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3434424,15,3,
Splendor Holdings,"Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3438401,140,2,
Splendor Holdings,"Kilimani, Dagoretti North","KSh 70,000",/listings/1-bedroom-apartment-for-rent-kilimani-3441453,90,1,
Opus Properties,"Mimosa, Ngong Road, Ngong Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3460771,3,3,2
Ace Realtors Limited,"21 04 30, 43 RA, Waiyaki Way, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3467934,177,3,3
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3457658,2,2,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3464360,3,3,2
Real Management Services 2002Limited,"East Church Road, Parklands, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-parklands-3452129,3,3,2
Pam Golding Properties,"Lavington, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-lavington-1-3458263,2,2,1
Crystal Valuers Ltd,"Ngong Road, Ngong Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-ngong-road-3447468,113,3,2
Crowne Estates,"Wambugu rd, Parklands, Westlands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-parklands-3461817,3,3,2
Yc Real Estate Limited,"Near Kenya High, Kileleshwa, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3467721,1000,2,2
Absolute Estate Agents,"Denis pritt,Kilimani, Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-40631,100,2,2
Absolute Estate Agents,"Lavington, Dagoretti North","KSh 70,000",/listings/1-bedroom-apartment-for-rent-lavington-3466156,1,1,1
Royani Properties Limited,"Kandara Road, Kileleshwa, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466645,3,3,3
Yellow Market,"Near Valley Arcade Shopping Centre, Valley Arcade, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3444679,3,3,2
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road","KSh 70,000",/listings/4-bedroom-apartment-for-rent-3466759,4,4,5
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road","KSh 70,000",/listings/4-bedroom-apartment-for-rent-3466841,4,4,5
Cfs Homes,"Westlands Area, Westlands","KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3458165,2,2,
Naftal Properties,"Madaraka, Langata","KSh 70,000",/listings/4-bedroom-apartment-for-rent-madaraka-3467772,4,4,5
Splendor Holdings,"Kilimani, Dagoretti North","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3431377,140,3,
Splendor Holdings,"Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3438455,120,2,
